id,name,directory,url,type,branch_ids/id,default_in_new_env,error_message
Inf_repo_git_oca_project,OCA-project,OCA-project,https://github.com/OCA/project,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_project_reporting,OCA-project-reporting,OCA-project-reporting,https://github.com/OCA/project-reporting,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_purchase_workflow,OCA-purchase-workflow,OCA-purchase-workflow,https://github.com/OCA/purchase-workflow,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_reporting_engine,OCA-reporting-engine,OCA-reporting-engine,https://github.com/OCA/reporting-engine,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_rma,OCA-rma,OCA-rma,https://github.com/OCA/rma,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_sale_financial,OCA-sale-financial,OCA-sale-financial,https://github.com/OCA/sale-financial,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_sale_workflow,OCA-sale-workflow,OCA-sale-workflow,https://github.com/OCA/sale-workflow,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_server_tools,OCA-server-tools,OCA-server-tools,https://github.com/OCA/server-tools,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_social,OCA-social,OCA-social,https://github.com/OCA/social,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_stock_logistics_tracking,OCA-stock-logistics-tracking,OCA-stock-logistics-tracking,https://github.com/OCA/stock-logistics-tracking,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_stock_logistics_warehouse,OCA-stock-logistics-warehouse,OCA-stock-logistics-warehouse,https://github.com/OCA/stock-logistics-warehouse,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_stock_logistics_workflow,OCA-stock-logistics-workflow,OCA-stock-logistics-workflow,https://github.com/OCA/stock-logistics-workflow,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_web,OCA-web,OCA-web,https://github.com/OCA/web,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_website,OCA-website,OCA-website,https://github.com/OCA/website,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_ingadhoc_odoo_support,ingadhoc-odoo-support,ingadhoc-odoo-support,https://github.com/ingadhoc/odoo-support,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_ingadhoc_account_financial_tools,ingadhoc-account-financial-tools,ingadhoc-account-financial-tools,https://github.com/ingadhoc/account-financial-tools,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_ingadhoc_account_payment,ingadhoc-account-payment,ingadhoc-account-payment,https://github.com/ingadhoc/account-payment,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_ingadhoc_odoo_infrastructure,ingadhoc-odoo-infrastructure,ingadhoc-odoo-infrastructure,https://github.com/ingadhoc/odoo-infrastructure,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_odoomrp_odoomrp_wip,odoomrp-odoomrp-wip,odoomrp-odoomrp-wip,https://github.com/odoomrp/odoomrp-wip,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_odoomrp_stock_logistics_warehouse,odoomrp-stock-logistics-warehouse,odoomrp-stock-logistics-warehouse,https://github.com/odoomrp/stock-logistics-warehouse,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_odoomrp_product_attribute,odoomrp-product-attribute,odoomrp-product-attribute,https://github.com/odoomrp/product-attribute,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_odoomrp_orchid_addons,odoomrp-orchid_addons,odoomrp-orchid_addons,https://github.com/odoomrp/orchid_addons,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_odoomrp_odoomrp_utils,odoomrp-odoomrp-utils,odoomrp-odoomrp-utils,https://github.com/odoomrp/odoomrp-utils,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_c_dayo,Dobtor-C-Dayo,Dobtor-C-Dayo,https://github.com/Dobtor/Dayo.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_c_gbp,Dobtor-C-GBP,Dobtor-C-GBP,https://github.com/Dobtor/GBP,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_c_efco,Dobtor-C-EFCO,Dobtor-C-EFCO,https://github.com/Dobtor/EFCO,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_base,Dobtor-Base,Dobtor-Base,https://github.com/Dobtor/Base.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_Inf_repo_git_dobtor_niboo,Dobtor-Dobtor-Niboo,Dobtor-Dobtor-Niboo,https://github.com/Dobtor/Niboo,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_crm_project,Dobtor-CRM_Project,Dobtor-CRM_Project,https://github.com/Dobtor/CRM_Project,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_finance,Dobtor-Finance,Dobtor-Finance,https://github.com/Dobtor/Finance,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_mail,Dobtor-Mail,Dobtor-Mail,https://github.com/Dobtor/Mail,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_quality_management,Dobtor-Quality-Management,Dobtor-Quality-Management,https://github.com/Dobtor/Management,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_test,Dobtor-Test,Dobtor-Test,https://github.com/Dobtor/Test,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_snippet,Dobtor-Snippet,Dobtor-Snippet,https://github.com/Dobtor/Snippet.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_server,Dobtor-Server,Dobtor-Server,https://github.com/Dobtor/Server,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_theme,Dobtor-Theme,Dobtor-Theme,https://github.com/Dobtor/Theme.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_website_base,Dobtor-Website-Base,Dobtor-Website-Base,https://github.com/Dobtor/Website-Base.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_website,Dobtor-Website,Dobtor-Website,https://github.com/Dobtor/Website,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_dobtor_afterservice,Dobtor-AfterService,Dobtor-AfterService,https://github.com/Dobtor/AfterService,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_It_projects_llc_misc_addons,it-projects-llc-misc-addons,it-projects-llc-misc-addons,https://github.com/it-projects-llc/misc-addons/,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_It_projects_llc_mail_addons,It-projects-llc-mail-addons,It-projects-llc-mail-addons,https://github.com/it-projects-llc/mail-addons/,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_It_projects_llc_website_addons,It-projects-llc-website-addons,It-projects-llc-website-addons,https://github.com/it-projects-llc/website-addons,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_openeducat_openeducat_erp,openeducat-openeducat_erp,openeducat-openeducat_erp,https://github.com/openeducat/openeducat_erp,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_ju_san_report_xls,ju-san-report_xls,ju-san-report_xls,https://github.com/ju-san/report_xls,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_openies_openies_odoo_9c,Openies-openies_odoo_9c,Openies-openies_odoo_9c,https://github.com/Openies/openies_odoo_9c,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_openies_odoolineship,Openies-OdooLineShip,Openies-OdooLineShip,https://github.com/Openies/OdooLineShip,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_techreceptives_website_recaptcha,techreceptives-website_recaptcha,techreceptives-website_recaptcha,https://github.com/techreceptives/website_recaptcha,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_cybroodoo_cybroaddons,CybroOdoo-CybroAddons,CybroOdoo-CybroAddons,https://github.com/CybroOdoo/CybroAddons,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_sythiltech_odoo9,SythilTech-Odoo9,SythilTech-Odoo9,https://github.com/SythilTech/Odoo9,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_sodexis_margin_analysis,sodexis-margin-analysis,sodexis-margin-analysis,https://github.com/sodexis/margin-analysis,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_vertelab_odoo_contract,vertelab-odoo-contract,vertelab-odoo-contract,https://github.com/vertelab/odoo-contract,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_vertelab_odoo_website_quote_extra,vertelab-odoo-website_quote_extra,vertelab-odoo-website_quote_extra,https://github.com/vertelab/odoo-website_quote_extra,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_eficent_rma,Eficent-rma,Eficent-rma,https://github.com/Eficent/rma,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_gmp,GMP,GMP,https://github.com/saasier1/saasier_public_addons,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_dobtorsi_todo_list,dobtorsi-todo_list,dobtorsi-todo_list,https://dobtor@bitbucket.org/dobtorsi/todo_list.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100,inf_rep_branch_dev100,inf_rep_branch_dev90",FALSE,
inf_repo_git_dobtorsi_slhm,dobtorsi-slhm,dobtorsi-slhm,https://dobtor@bitbucket.org/dobtorsi/slhm.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100,inf_rep_branch_dev100,inf_rep_branch_dev90",FALSE,
inf_repo_git_dobtorsi_survey,dobtorsi-survey,dobtorsi-survey,https://dobtor@bitbucket.org/dobtorsi/survey.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100,inf_rep_branch_dev100,inf_rep_branch_dev90",FALSE,
inf_repo_git_dobtorsi_adhoc,dobtorsi-adhoc,dobtorsi-adhoc,https://dobtor@bitbucket.org/dobtorsi/adhoc.git,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100,inf_rep_branch_dev100,inf_rep_branch_dev90",FALSE,
inf_repo_git_muk_it_muk_website,muk-it-muk_website,muk-it-muk_website,https://github.com/muk-it/muk_website,git,"inf_rep_branch_100,inf_rep_branch_110",FALSE,
inf_repo_git_muk_it_muk_dms,muk-it-muk_dms,muk-it-muk_dms,https://github.com/muk-it/muk_dms,git,"inf_rep_branch_100,inf_rep_branch_110",FALSE,
inf_repo_git_muk_it_muk_web,muk-it-muk_web,muk-it-muk_web,https://github.com/muk-it/muk_web,git,"inf_rep_branch_100,inf_rep_branch_110",FALSE,
inf_repo_git_muk_it_muk_docs,muk-it-muk_docs,muk-it-muk_docs,https://github.com/muk-it/muk_docs,git,"inf_rep_branch_100,inf_rep_branch_110",FALSE,
inf_repo_git_muk_it_muk_base,muk-it-muk_base,muk-it-muk_base,https://github.com/muk-it/muk_base,git,"inf_rep_branch_100,inf_rep_branch_110",FALSE,
